Image Link,Brand,Item Link,Item Name,Current Price,Previous Price,Savings,Shipping Price,Item rating,Number of ratings
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-276-V15.jpg,Corsair,https://www.newegg.com/corsair-cx-series-cx750m-750w/p/N82E16817139276,CORSAIR CX-M CX750M 750 W ATX 80 PLUS BRONZE Certified Semi-Modular Power Supply,$125,,,Free Shipping,rated 4.6 out of 5,50
https://c1.neweggimages.com/ProductImageCompressAll300/17-320-030-08.png,ASUS,https://www.newegg.com/asus-tuf-gaming-850g-850-w/p/N82E16817320030,"ASUS TUF Gaming 850W Gold (850 Watt, ATX 3.0 Compatible, Fully Modular Power Supply, 80+ Gold, Military-grade Components, Dual Ball Bearing, Axial-tech Fan, PCB Coating)",$131,$149.99,12%,Free Shipping,rated 4.7 out of 5,21
https://c1.neweggimages.com/ProductImageCompressAll300/17-182-451-01.jpg,Rosewill,https://www.newegg.com/rosewill-cmg850-850-w/p/N82E16817182451,"Rosewill CMG Series, CMG850, 850W Fully Modular Power Supply, 80 PLUS GOLD Certified, Ultra Quiet Fluid Dynamic Bearing Fan with Auto Speed Control, ECO Mode, Japanese Capacitors, Black",$99,,,Special Shipping,rated 4.2 out of 5,186
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-304-10.png,Corsair,https://www.newegg.com/corsair-rm1200x-shift-cp-9020254-na-1200w/p/N82E16817139304,CORSAIR RMx Shift Series RM1200x Shift Fully Modular 80PLUS Gold ATX Power Supply,$269,,,Free Shipping,rated 4.7 out of 5,567
https://c1.neweggimages.com/ProductImageCompressAll300/17-438-199-01.jpg,EVGA,https://www.newegg.com/evga-supernova-850-gt-220-gt-0850-y1-850w/p/N82E16817438199,"EVGA SuperNOVA 850 GT, 80 Plus Gold 850W, Fully Modular, Auto Eco Mode with FDB Fan, 7 Year Warranty, Includes Power ON Self Tester, Compact 150mm Size, Power Supply 220-GT-0850-Y1",$139,$149.99,6%,Free Shipping,rated 4.6 out of 5,323
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-288-V02.jpg,Corsair,https://www.newegg.com/corsair-hx1500i-cp-9020215-na-1500w/p/N82E16817139288,CORSAIR HX1500i CP-9020215-NA 1500 W ATX12V 2.52 / EPS12V 2.92 80 PLUS PLATINUM Certified Full Modular Power Supply,$399,,,Free Shipping,rated 4.6 out of 5,45
https://c1.neweggimages.com/ProductImageCompressAll300/17-438-245-01.jpg,EVGA,https://www.newegg.com/evga-ge-series-200-ge-0700-v1-700-w/p/N82E16817438245,"EVGA 700 GE, 80 Plus Gold 700W, Eco Mode, Power Supply 200-GE-0700-V1",$78,$78.54,,Free Shipping,rated 4.8 out of 5,5
https://c1.neweggimages.com/ProductImageCompressAll300/17-153-231-01.jpg,Thermaltake,https://www.newegg.com/thermaltake-smart-series-ps-spd-0700npcwus-w-700w/p/N82E16817153231,Thermaltake Smart Series 700W SLI / CrossFire Ready Continuous Power ATX12V V2.3 / EPS12V 80 PLUS Certified Active PFC Power Supply Haswell Ready PS-SPD-0700NPCWUS-W,$54,,,$9.99 Shipping,rated 4.3 out of 5,566
https://c1.neweggimages.com/ProductImageCompressAll300/17-153-232-01.jpg,Thermaltake,https://www.newegg.com/thermaltake-smart-series-ps-spd-0600npcwus-w-600w/p/N82E16817153232,Thermaltake Smart Series 600W SLI / CrossFire Ready Continuous Power ATX12V V2.3 / EPS12V 80 PLUS Certified Active PFC Power Supply Haswell Ready PS-SPD-0600NPCWUS-W,$44,,,$9.99 Shipping,rated 4.3 out of 5,566
https://c1.neweggimages.com/ProductImageCompressAll300/17-139-303-10.png,Corsair,https://www.newegg.com/corsair-rm1000x-shift-cp-9020253-na-1000-w/p/N82E16817139303,CORSAIR RMx Shift Series RM1000x Shift Fully Modular 80PLUS Gold ATX Power Supply,$209,,,Free Shipping,rated 4.7 out of 5,567
https://c1.neweggimages.com/ProductImageCompressAll300/17-153-444-13.jpg,Thermaltake,https://www.newegg.com/thermaltake-toughpower-pf3-series-ps-tpd-1050fnfapu-3-1050-w/p/N82E16817153444,"Thermaltake Toughpower PF3 1050W 80+ Platinum ATX 3.0 (PCI-E 5.0 600W 12VHPWR Connector included) Full Modular SLI/Crossfire Ready Power Supply, PS-TPD-1050FNFAPU-L",$219,,,Free Shipping,,
https://c1.neweggimages.com/ProductImageCompressAll300/17-320-014-V11.jpg,ASUS,https://www.newegg.com/asus-rog-strix-series-rog-strix-1000g-1000w/p/N82E16817320014,"ASUS ROG STRIX 1000W Gold PSU, Power Supply (ROG Heatsinks, Axial-tech Fan Design, Dual Ball Fan Bearings, 0dB Technology, 80 PLUS Gold Certification, Fully Modular Cables, 10-year Warranty)",$199,$209.99,,Free Shipping,rated 4.6 out of 5,271
https://c1.neweggimages.com/ProductImageCompressAll300/17-438-187-S12.jpg,EVGA,https://www.newegg.com/evga-supernova-750-gt-220-gt-0750-y1-750w/p/N82E16817438187,"EVGA SuperNOVA 750 GT, 80 Plus Gold 750W, Fully Modular, Auto Eco Mode with FDB Fan, 7 Year Warranty, Includes Power ON Self Tester, Compact 150mm Size, Power Supply 220-GT-0750-Y1",$129,,,$3.99 Shipping,rated 4.6 out of 5,323
